stage_id	tool_id	stage_status	tool_status	is_default	execution_status	runtime_support	normalization_support	benchmark_support	registry_status	runtimes	container_ref	dockerfile	apptainer_def	evidence_count	claim_ids	decision_id	binding_id
fastq.profile_overrepresented_sequences	seqkit	governed	allowed	false	closed	runnable	observer_specialized	comparable	production	docker,apptainer	bijuxdna/seqkit@sha256:ca3dc13e3fef5d34927c44b2d8cd2bc6708c2c256f42e51369d7b1203b0d2991	containers/docker/arm64/Dockerfile.seqkit	containers/apptainer/shared/seqkit.def	5	claim.fastq.execution-surface-authority,claim.fastq.default-settings-authority,claim.fastq.tool-registry-authority,claim.fastq.environment-resolution-authority,claim.fastq.planned-tools-remain-excluded	decision.fastq.environment-tool-surface	binding.fastq.environment-tool-surface
fastq.profile_read_lengths	seqkit_stats	governed	default	true	closed	runnable	observer_specialized	cohort	production	docker,apptainer	bijuxdna/seqkit@sha256:ca3dc13e3fef5d34927c44b2d8cd2bc6708c2c256f42e51369d7b1203b0d2991	containers/docker/arm64/Dockerfile.seqkit_stats	containers/apptainer/shared/seqkit_stats.def	5	claim.fastq.execution-surface-authority,claim.fastq.default-settings-authority,claim.fastq.tool-registry-authority,claim.fastq.environment-resolution-authority,claim.fastq.planned-tools-remain-excluded	decision.fastq.environment-tool-surface	binding.fastq.environment-tool-surface
fastq.profile_read_lengths	fastp	governed	allowed	false	closed	runnable	observer_specialized	cohort	production	docker,apptainer	bijuxdna/fastp@sha256:603656aa361eee1cbd1370db9412e588da91708da5542173e5ae74aab71cbc10	containers/docker/arm64/Dockerfile.fastp	containers/apptainer/shared/fastp.def	5	claim.fastq.execution-surface-authority,claim.fastq.default-settings-authority,claim.fastq.tool-registry-authority,claim.fastq.environment-resolution-authority,claim.fastq.planned-tools-remain-excluded	decision.fastq.environment-tool-surface	binding.fastq.environment-tool-surface
fastq.profile_read_lengths	prinseq	governed	allowed	false	closed	runnable	observer_specialized	cohort	production	docker,apptainer	bijuxdna/prinseq@sha256:7216ffecd7913edaea33ec76b3775ab0cb0d60064f31e96c63e043d578a3f971	containers/docker/arm64/Dockerfile.prinseq	containers/apptainer/shared/prinseq.def	5	claim.fastq.execution-surface-authority,claim.fastq.default-settings-authority,claim.fastq.tool-registry-authority,claim.fastq.environment-resolution-authority,claim.fastq.planned-tools-remain-excluded	decision.fastq.environment-tool-surface	binding.fastq.environment-tool-surface
fastq.profile_read_lengths	seqfu	governed	allowed	false	closed	runnable	observer_specialized	cohort	production	docker,apptainer	bijuxdna/seqfu:2.4.0	containers/docker/arm64/Dockerfile.seqfu	containers/apptainer/shared/seqfu.def	5	claim.fastq.execution-surface-authority,claim.fastq.default-settings-authority,claim.fastq.tool-registry-authority,claim.fastq.environment-resolution-authority,claim.fastq.planned-tools-remain-excluded	decision.fastq.environment-tool-surface	binding.fastq.environment-tool-surface
fastq.profile_reads	seqkit_stats	governed	default	true	closed	runnable	observer_specialized	cohort	production	docker,apptainer	bijuxdna/seqkit@sha256:ca3dc13e3fef5d34927c44b2d8cd2bc6708c2c256f42e51369d7b1203b0d2991	containers/docker/arm64/Dockerfile.seqkit_stats	containers/apptainer/shared/seqkit_stats.def	5	claim.fastq.execution-surface-authority,claim.fastq.default-settings-authority,claim.fastq.tool-registry-authority,claim.fastq.environment-resolution-authority,claim.fastq.planned-tools-remain-excluded	decision.fastq.environment-tool-surface	binding.fastq.environment-tool-surface
fastq.profile_reads	seqfu	governed	allowed	false	closed	runnable	observer_specialized	cohort	production	docker,apptainer	bijuxdna/seqfu:2.4.0	containers/docker/arm64/Dockerfile.seqfu	containers/apptainer/shared/seqfu.def	5	claim.fastq.execution-surface-authority,claim.fastq.default-settings-authority,claim.fastq.tool-registry-authority,claim.fastq.environment-resolution-authority,claim.fastq.planned-tools-remain-excluded	decision.fastq.environment-tool-surface	binding.fastq.environment-tool-surface
fastq.profile_reads	seqkit	governed	allowed	false	closed	runnable	observer_specialized	cohort	production	docker,apptainer	bijuxdna/seqkit@sha256:ca3dc13e3fef5d34927c44b2d8cd2bc6708c2c256f42e51369d7b1203b0d2991	containers/docker/arm64/Dockerfile.seqkit	containers/apptainer/shared/seqkit.def	5	claim.fastq.execution-surface-authority,claim.fastq.default-settings-authority,claim.fastq.tool-registry-authority,claim.fastq.environment-resolution-authority,claim.fastq.planned-tools-remain-excluded	decision.fastq.environment-tool-surface	binding.fastq.environment-tool-surface
fastq.remove_chimeras	vsearch	governed	default	true	closed	runnable	generic_envelope	cohort	production	docker,apptainer	bijuxdna/vsearch@sha256:c16ef98d6fd67ac0b8eea3ebb4f3dc6df9c582d6f838317d5f6ccc7a09e60bb3	containers/docker/arm64/Dockerfile.vsearch	containers/apptainer/shared/vsearch.def	5	claim.fastq.execution-surface-authority,claim.fastq.default-settings-authority,claim.fastq.tool-registry-authority,claim.fastq.environment-resolution-authority,claim.fastq.planned-tools-remain-excluded	decision.fastq.environment-tool-surface	binding.fastq.environment-tool-surface
fastq.remove_duplicates	clumpify	governed	default	true	closed	runnable	observer_specialized	cohort	production	docker,apptainer	bijuxdna/clumpify@sha256:fa8159777183edae8355363ba8cc5e8f8f069bee09cb6f2fb70a7ca4220a5c81	containers/docker/arm64/Dockerfile.clumpify	containers/apptainer/shared/clumpify.def	5	claim.fastq.execution-surface-authority,claim.fastq.default-settings-authority,claim.fastq.tool-registry-authority,claim.fastq.environment-resolution-authority,claim.fastq.planned-tools-remain-excluded	decision.fastq.environment-tool-surface	binding.fastq.environment-tool-surface
fastq.remove_duplicates	fastuniq	governed	allowed	false	closed	runnable	observer_specialized	cohort	production	docker,apptainer	bijuxdna/fastuniq@sha256:4e0aba0be50a2894b7d36e34599cb4ff727be3e57fe47895f1a35b04985fcacf	containers/docker/arm64/Dockerfile.fastuniq	containers/apptainer/shared/fastuniq.def	5	claim.fastq.execution-surface-authority,claim.fastq.default-settings-authority,claim.fastq.tool-registry-authority,claim.fastq.environment-resolution-authority,claim.fastq.planned-tools-remain-excluded	decision.fastq.environment-tool-surface	binding.fastq.environment-tool-surface
fastq.repair_pairs	bijux_dna	governed	disallowed	false	declared_only	declared_only	none	none	production	docker,apptainer	bijuxdna/bijux_dna:workspace	containers/docker/arm64/Dockerfile.bijux_dna	containers/apptainer/shared/bijux_dna.def	5	claim.fastq.execution-surface-authority,claim.fastq.default-settings-authority,claim.fastq.tool-registry-authority,claim.fastq.environment-resolution-authority,claim.fastq.planned-tools-remain-excluded	decision.fastq.environment-tool-surface	binding.fastq.environment-tool-surface
fastq.report_qc	multiqc	governed	default	true	closed	runnable	observer_specialized	comparable	production	docker,apptainer	bijuxdna/multiqc@sha256:40af0025fcc5bc4ea15e5cd2a4fd7bcfc98ea06c9ca781e6268f3c81d12787ec	containers/docker/arm64/Dockerfile.multiqc	containers/apptainer/shared/multiqc.def	5	claim.fastq.execution-surface-authority,claim.fastq.default-settings-authority,claim.fastq.tool-registry-authority,claim.fastq.environment-resolution-authority,claim.fastq.planned-tools-remain-excluded	decision.fastq.environment-tool-surface	binding.fastq.environment-tool-surface
fastq.screen_taxonomy	kraken2	governed	default	true	closed	runnable	observer_specialized	cohort	production	docker,apptainer	bijuxdna/kraken2@sha256:e493061d26aeea71812ed8b587a0e65f67617b192e225d8d53eba896dfe7cb35	containers/docker/arm64/Dockerfile.kraken2	containers/apptainer/shared/kraken2.def	5	claim.fastq.execution-surface-authority,claim.fastq.default-settings-authority,claim.fastq.tool-registry-authority,claim.fastq.environment-resolution-authority,claim.fastq.planned-tools-remain-excluded	decision.fastq.environment-tool-surface	binding.fastq.environment-tool-surface
fastq.screen_taxonomy	centrifuge	governed	allowed	false	closed	runnable	observer_specialized	cohort	production	docker,apptainer	bijuxdna/centrifuge@sha256:7a29ee8d8dc156513a23e05e9f8fda2299032ab7e6d5cb3c241c9f34c3f81553	containers/docker/arm64/Dockerfile.centrifuge	containers/apptainer/shared/centrifuge.def	5	claim.fastq.execution-surface-authority,claim.fastq.default-settings-authority,claim.fastq.tool-registry-authority,claim.fastq.environment-resolution-authority,claim.fastq.planned-tools-remain-excluded	decision.fastq.environment-tool-surface	binding.fastq.environment-tool-surface
fastq.screen_taxonomy	diamond	governed	disallowed	false	closed	runnable	observer_specialized	cohort	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	5	claim.fastq.execution-surface-authority,claim.fastq.default-settings-authority,claim.fastq.tool-registry-authority,claim.fastq.environment-resolution-authority,claim.fastq.planned-tools-remain-excluded	decision.fastq.environment-tool-surface	binding.fastq.environment-tool-surface
fastq.screen_taxonomy	kaiju	governed	allowed	false	closed	runnable	observer_specialized	cohort	production	docker,apptainer	bijuxdna/kaiju@sha256:4f30fd9becc62e873bc223231c717bba5b42db8a4f993979bf26c7fc00979f9b	containers/docker/arm64/Dockerfile.kaiju	containers/apptainer/shared/kaiju.def	5	claim.fastq.execution-surface-authority,claim.fastq.default-settings-authority,claim.fastq.tool-registry-authority,claim.fastq.environment-resolution-authority,claim.fastq.planned-tools-remain-excluded	decision.fastq.environment-tool-surface	binding.fastq.environment-tool-surface
fastq.screen_taxonomy	krakenuniq	governed	allowed	false	closed	runnable	observer_specialized	cohort	production	docker,apptainer	bijuxdna/krakenuniq:1.0.4	containers/docker/arm64/Dockerfile.krakenuniq	containers/apptainer/shared/krakenuniq.def	5	claim.fastq.execution-surface-authority,claim.fastq.default-settings-authority,claim.fastq.tool-registry-authority,claim.fastq.environment-resolution-authority,claim.fastq.planned-tools-remain-excluded	decision.fastq.environment-tool-surface	binding.fastq.environment-tool-surface
fastq.subsample_reads	bijux_dna	governed	disallowed	false	declared_only	declared_only	none	none	production	docker,apptainer	bijuxdna/bijux_dna:workspace	containers/docker/arm64/Dockerfile.bijux_dna	containers/apptainer/shared/bijux_dna.def	5	claim.fastq.execution-surface-authority,claim.fastq.default-settings-authority,claim.fastq.tool-registry-authority,claim.fastq.environment-resolution-authority,claim.fastq.planned-tools-remain-excluded	decision.fastq.environment-tool-surface	binding.fastq.environment-tool-surface
fastq.trim_polyg_tails	fastp	governed	default	true	closed	runnable	observer_specialized	cohort	production	docker,apptainer	bijuxdna/fastp@sha256:603656aa361eee1cbd1370db9412e588da91708da5542173e5ae74aab71cbc10	containers/docker/arm64/Dockerfile.fastp	containers/apptainer/shared/fastp.def	5	claim.fastq.execution-surface-authority,claim.fastq.default-settings-authority,claim.fastq.tool-registry-authority,claim.fastq.environment-resolution-authority,claim.fastq.planned-tools-remain-excluded	decision.fastq.environment-tool-surface	binding.fastq.environment-tool-surface
