repo_id	clone_url	mirror_path	archive_path	reference_count	sample_sources
grenaud/leeHom	https://github.com/grenaud/leeHom.git	science/docs/upstream/github-repos/mirrors/grenaud/leeHom.git	science/docs/upstream/github-repos/archives/grenaud--leeHom.tar.gz	5	configs/ci/registry/tool_registry.toml;docs/30-operations/CONTAINER_LICENSE_INDEX.md;domain/fastq/tools/leehom.yaml;science/docs/TODO_DOWNLOAD.md;science/docs/upstream/fastq/tools/EVIDENCE_MAP.tsv
grenaud/schmutzi	https://github.com/grenaud/schmutzi.git	science/docs/upstream/github-repos/mirrors/grenaud/schmutzi.git	science/docs/upstream/github-repos/archives/grenaud--schmutzi.tar.gz	4	configs/ci/registry/tool_registry.toml;docs/20-science/TOOL_INDEX.md;docs/30-operations/CONTAINER_LICENSE_INDEX.md;domain/bam/tools/schmutzi.yaml
imgag/ngs-bits	https://github.com/imgag/ngs-bits.git	science/docs/upstream/github-repos/mirrors/imgag/ngs-bits.git	science/docs/upstream/github-repos/archives/imgag--ngs-bits.tar.gz	3	domain/fastq/tools/seqpurge.yaml;science/docs/TODO_DOWNLOAD.md;science/docs/upstream/fastq/tools/EVIDENCE_MAP.tsv
jdidion/atropos	https://github.com/jdidion/atropos.git	science/docs/upstream/github-repos/mirrors/jdidion/atropos.git	science/docs/upstream/github-repos/archives/jdidion--atropos.tar.gz	5	configs/ci/registry/tool_registry.toml;docs/30-operations/CONTAINER_LICENSE_INDEX.md;domain/fastq/tools/atropos.yaml;science/docs/TODO_DOWNLOAD.md;science/docs/upstream/fastq/tools/EVIDENCE_MAP.tsv
jenniferlu717/Bracken	https://github.com/jenniferlu717/Bracken.git	science/docs/upstream/github-repos/mirrors/jenniferlu717/Bracken.git	science/docs/upstream/github-repos/archives/jenniferlu717--Bracken.tar.gz	1	docs/30-operations/CONTAINER_LICENSE_INDEX.md
jstjohn/SeqPrep	https://github.com/jstjohn/SeqPrep.git	science/docs/upstream/github-repos/mirrors/jstjohn/SeqPrep.git	science/docs/upstream/github-repos/archives/jstjohn--SeqPrep.tar.gz	1	docs/30-operations/CONTAINER_LICENSE_INDEX.md
lh3/bwa	https://github.com/lh3/bwa.git	science/docs/upstream/github-repos/mirrors/lh3/bwa.git	science/docs/upstream/github-repos/archives/lh3--bwa.tar.gz	4	configs/ci/registry/tool_registry.toml;docs/20-science/TOOL_INDEX.md;docs/30-operations/CONTAINER_LICENSE_INDEX.md;domain/bam/tools/bwa.yaml
lh3/seqtk	https://github.com/lh3/seqtk.git	science/docs/upstream/github-repos/mirrors/lh3/seqtk.git	science/docs/upstream/github-repos/archives/lh3--seqtk.tar.gz	7	configs/ci/registry/tool_registry.toml;docs/20-science/TOOL_INDEX.md;docs/20-science/fastq/REFERENCES.md;docs/30-operations/CONTAINER_LICENSE_INDEX.md;domain/fastq/tools/seqtk.yaml
marcelm/cutadapt	https://github.com/marcelm/cutadapt.git	science/docs/upstream/github-repos/mirrors/marcelm/cutadapt.git	science/docs/upstream/github-repos/archives/marcelm--cutadapt.tar.gz	3	docs/30-operations/CONTAINER_LICENSE_INDEX.md;science/docs/TODO_DOWNLOAD.md;science/docs/upstream/fastq/tools/EVIDENCE_MAP.tsv
maxibor/pydamage	https://github.com/maxibor/pydamage.git	science/docs/upstream/github-repos/mirrors/maxibor/pydamage.git	science/docs/upstream/github-repos/archives/maxibor--pydamage.tar.gz	4	configs/ci/registry/tool_registry.toml;docs/20-science/TOOL_INDEX.md;docs/30-operations/CONTAINER_LICENSE_INDEX.md;domain/bam/tools/pydamage.yaml
